Name,Run,ProB time (ms),ProB walltime (ms),States,Transitions,ProB memory (MB),ProB program memory (MB),Total walltime (sec),Max RSS (kB)
M2_Hold_Button_prob_mc_mch.eventb,5,2054758,2033616,9884,15045795,8354.152,8249.295,2034.03,8165232
M2_Hold_Button_prob_mc_mch.eventb,Median,2230321,2292644,9884,15045795,8354.167,8249.309,2293.3,4930256
M0_AMAN_Update_prob_mc2_mch.eventb,1,1,1,5,18,160.292,55.435,0.35,172112
M0_AMAN_Update_prob_mc2_mch.eventb,2,1,1,5,18,160.292,55.435,0.33,171904
M0_AMAN_Update_prob_mc2_mch.eventb,3,1,1,5,18,160.292,55.435,0.33,172160
M0_AMAN_Update_prob_mc2_mch.eventb,4,1,1,5,18,160.292,55.435,0.33,172000
M0_AMAN_Update_prob_mc2_mch.eventb,5,1,1,5,18,160.292,55.435,0.34,172016
M0_AMAN_Update_prob_mc2_mch.eventb,Median,1,1,5,18,160.292,55.435,0.33,172016
M1_Landing_Sequence_prob_mc2_mch.eventb,1,18,19,18,339,160.684,55.826,0.36,172384
M1_Landing_Sequence_prob_mc2_mch.eventb,2,18,19,18,339,160.684,55.826,0.35,171904
M1_Landing_Sequence_prob_mc2_mch.eventb,3,19,20,18,339,160.684,55.826,0.35,172016
M1_Landing_Sequence_prob_mc2_mch.eventb,4,20,21,18,339,160.684,55.826,0.36,172112
M1_Landing_Sequence_prob_mc2_mch.eventb,5,19,19,18,339,160.684,55.826,0.35,172192
M1_Landing_Sequence_prob_mc2_mch.eventb,Median,19,19,18,339,160.684,55.826,0.35,172112
M2_Hold_Button_prob_mc2_mch.eventb,1,50,52,46,913,161.066,56.209,0.4,172208
M2_Hold_Button_prob_mc2_mch.eventb,2,50,52,46,913,161.066,56.209,0.39,172336
M2_Hold_Button_prob_mc2_mch.eventb,3,50,51,46,913,161.064,56.207,0.4,172336
M2_Hold_Button_prob_mc2_mch.eventb,4,50,51,46,913,161.064,56.207,0.39,172144
M2_Hold_Button_prob_mc2_mch.eventb,5,50,52,46,913,161.064,56.207,0.39,172224
M2_Hold_Button_prob_mc2_mch.eventb,Median,50,52,46,913,161.064,56.207,0.39,172224
M3_Block_Timeslots_prob_mc2_mch.eventb,1,2295,2383,1953,49154,188.541,83.683,2.73,196576
M3_Block_Timeslots_prob_mc2_mch.eventb,2,2280,2369,1953,49154,188.22,83.363,2.71,196336
M3_Block_Timeslots_prob_mc2_mch.eventb,3,2277,2362,1953,49154,188.193,83.336,2.72,196416
M3_Block_Timeslots_prob_mc2_mch.eventb,4,2275,2362,1953,49154,188.214,83.356,2.71,196064
M3_Block_Timeslots_prob_mc2_mch.eventb,5,2275,2359,1953,49154,188.184,83.326,2.71,196464
M3_Block_Timeslots_prob_mc2_mch.eventb,Median,2277,2362,1953,49154,188.214,83.356,2.71,196416
M4_Zoom_prob_mc2_mch.eventb,1,2362,2453,1953,49154,188.475,83.617,2.81,196496
M4_Zoom_prob_mc2_mch.eventb,2,2364,2454,1953,49154,188.307,83.449,2.8,196544
M4_Zoom_prob_mc2_mch.eventb,3,2353,2442,1953,49154,188.364,83.506,2.79,196080
M4_Zoom_prob_mc2_mch.eventb,4,2306,2394,1953,49154,188.437,83.579,2.75,196352
M4_Zoom_prob_mc2_mch.eventb,5,2352,2443,1953,49154,188.329,83.471,2.8,196688
M4_Zoom_prob_mc2_mch.eventb,Median,2353,2443,1953,49154,188.364,83.506,2.8,196496
M5_AMAN_Timeout_prob_mc2_mch.eventb,1,3966,4148,3905,102210,212.343,107.485,4.51,221168
M5_AMAN_Timeout_prob_mc2_mch.eventb,2,3964,4144,3905,102210,212.392,107.535,4.5,221264
M5_AMAN_Timeout_prob_mc2_mch.eventb,3,3962,4141,3905,102210,212.347,107.489,4.49,221088
M5_AMAN_Timeout_prob_mc2_mch.eventb,4,3964,4142,3905,102210,213.377,108.52,4.5,221648
M5_AMAN_Timeout_prob_mc2_mch.eventb,5,3947,4126,3905,102210,212.343,107.485,4.49,221072
M5_AMAN_Timeout_prob_mc2_mch.eventb,Median,3964,4142,3905,102210,212.347,107.489,4.5,221168
M6_Select_Airplane_prob_mc2_mch.eventb,1,9014,9510,9665,256962,286.341,181.484,9.89,292464
M6_Select_Airplane_prob_mc2_mch.eventb,2,9031,9530,9665,256962,286.411,181.553,9.9,292464
M6_Select_Airplane_prob_mc2_mch.eventb,3,9054,9541,9665,256962,286.461,181.603,9.9,292544
M6_Select_Airplane_prob_mc2_mch.eventb,4,9021,9512,9665,256962,286.522,181.665,9.89,292544
M6_Select_Airplane_prob_mc2_mch.eventb,5,8922,9403,9665,256962,286.385,181.527,9.78,292704
M6_Select_Airplane_prob_mc2_mch.eventb,Median,9021,9512,9665,256962,286.411,181.553,9.89,292544
M7_Interaction_Pauses_Updates_prob_mc2_mch.eventb,1,10362,11043,15425,297282,301.041,196.183,11.41,308016
M7_Interaction_Pauses_Updates_prob_mc2_mch.eventb,2,10369,11054,15425,297282,301.099,196.242,11.42,307952
M7_Interaction_Pauses_Updates_prob_mc2_mch.eventb,3,10387,11066,15425,297282,301.073,196.216,11.44,308192
M7_Interaction_Pauses_Updates_prob_mc2_mch.eventb,4,10176,10860,15425,297282,301.168,196.311,11.23,308224
M7_Interaction_Pauses_Updates_prob_mc2_mch.eventb,5,10264,10940,15425,297282,301.125,196.268,11.31,308016
M7_Interaction_Pauses_Updates_prob_mc2_mch.eventb,Median,10362,11043,15425,297282,301.099,196.242,11.41,308016
M8_Interaction_Events_prob_mc2_mch.eventb,1,24108,26231,48129,611970,462.384,357.526,26.63,465840
M8_Interaction_Events_prob_mc2_mch.eventb,2,24132,26296,48129,611970,462.396,357.538,26.68,465696
M8_Interaction_Events_prob_mc2_mch.eventb,3,24128,26289,48129,611970,462.405,357.547,26.69,465328
M8_Interaction_Events_prob_mc2_mch.eventb,4,23639,25699,48129,611970,462.268,357.41,26.09,465504
M8_Interaction_Events_prob_mc2_mch.eventb,5,24098,26238,48129,611970,462.451,357.594,26.62,465568
M8_Interaction_Events_prob_mc2_mch.eventb,Median,24108,26238,48129,611970,462.396,357.538,26.63,465568
M9_Push_Mouse_Buttons_prob_mc2_mch.eventb,1,362498,413913,687169,10224194,3994.246,3889.388,414.43,2836688
M9_Push_Mouse_Buttons_prob_mc2_mch.eventb,2,368118,418071,687169,10224194,3994.141,3889.284,418.52,3931456
M9_Push_Mouse_Buttons_prob_mc2_mch.eventb,3,365793,416343,687169,10224194,3996.573,3891.716,416.8,3933168
M9_Push_Mouse_Buttons_prob_mc2_mch.eventb,4,367730,418004,687169,10224194,3996.33,3891.472,418.49,3444272
M9_Push_Mouse_Buttons_prob_mc2_mch.eventb,5,368159,419573,687169,10224194,3996.165,3891.308,420.1,2740176
M9_Push_Mouse_Buttons_prob_mc2_mch.eventb,Median,367730,418004,687169,10224194,3996.165,3891.308,418.49,3444272
