Name,Run,ProB time (ms),ProB walltime (ms),States,Transitions,ProB memory (MB),ProB program memory (MB),Total walltime (sec),Max RSS (kB)
M0_AMAN_Update_prob_mc_mch.eventb,1,2,2,9,66,160.315,55.457,0.37,172112
M0_AMAN_Update_prob_mc_mch.eventb,2,2,2,9,66,160.315,55.457,0.35,171920
M0_AMAN_Update_prob_mc_mch.eventb,3,2,2,9,66,160.315,55.457,0.33,172096
M0_AMAN_Update_prob_mc_mch.eventb,4,2,2,9,66,160.315,55.457,0.34,171888
M0_AMAN_Update_prob_mc_mch.eventb,5,3,2,9,66,160.315,55.457,0.35,172144
M0_AMAN_Update_prob_mc_mch.eventb,Median,2,2,9,66,160.315,55.457,0.35,172096
M1_Landing_Sequence_prob_mc_mch.eventb,1,320947,333781,1505,2287908,1425.511,1320.654,334.18,1392752
M1_Landing_Sequence_prob_mc_mch.eventb,2,323069,335491,1505,2287908,1425.523,1320.665,335.85,1392768
M1_Landing_Sequence_prob_mc_mch.eventb,3,323250,335900,1505,2287908,1425.508,1320.65,336.28,1000976
M1_Landing_Sequence_prob_mc_mch.eventb,4,324739,336972,1505,2287908,1425.501,1320.644,337.37,739216
M1_Landing_Sequence_prob_mc_mch.eventb,5,322397,335095,1505,2287908,1425.562,1320.704,335.48,600464
M1_Landing_Sequence_prob_mc_mch.eventb,Median,323069,335491,1505,2287908,1425.511,1320.654,335.85,1000976
M2_Hold_Button_prob_mc_mch.eventb,1,2273641,2356565,9884,15045795,8354.167,8249.309,2357.27,2674832
M2_Hold_Button_prob_mc_mch.eventb,2,2291690,2376293,9884,15045795,8354.468,8249.61,2377.01,2645072
M2_Hold_Button_prob_mc_mch.eventb,2,2272563,2350571,9884,15045795,8354.367,8249.509,2351.25,4014800
M2_Hold_Button_prob_mc_mch.eventb,3,2289131,2370335,9884,15045795,8354.092,8249.234,2371.04,3877632
M2_Hold_Button_prob_mc_mch.eventb,3,2230321,2292644,9884,15045795,8354.092,8249.234,2293.3,5253632
M2_Hold_Button_prob_mc_mch.eventb,4,2199327,2254937,9884,15045795,8354.473,8249.616,2255.6,5142560
M2_Hold_Button_prob_mc_mch.eventb,4,2230277,2287779,9884,15045795,8354.211,8249.353,2288.45,4995456
M2_Hold_Button_prob_mc_mch.eventb,5,2228520,2288820,9884,15045795,8354.14,8249.283,2289.51,4930256
