Name,Run,ProB time (ms),ProB walltime (ms),States,Transitions,ProB memory (MB),ProB program memory (MB),Total walltime (sec),Max RSS (kB)
M5_AMAN_Timeout_prob_mc2_mch.eventb,4,3877,4031,3905,102210,212.369,107.512,4.39,221168
M5_AMAN_Timeout_prob_mc2_mch.eventb,5,3895,4045,3905,102210,213.382,108.525,4.41,221728
M5_AMAN_Timeout_prob_mc2_mch.eventb,Median,3887,4038,3905,102210,212.439,107.581,4.4,221168
M6_Select_Airplane_prob_mc2_mch.eventb,1,8900,9305,9665,256962,286.539,181.682,9.68,292720
M6_Select_Airplane_prob_mc2_mch.eventb,2,8843,9250,9665,256962,286.405,181.548,9.62,292656
M6_Select_Airplane_prob_mc2_mch.eventb,3,8866,9269,9665,256962,286.455,181.597,9.64,292800
M6_Select_Airplane_prob_mc2_mch.eventb,4,8860,9261,9665,256962,286.341,181.484,9.64,292512
M6_Select_Airplane_prob_mc2_mch.eventb,5,8899,9293,9665,256962,286.538,181.68,9.67,292480
M6_Select_Airplane_prob_mc2_mch.eventb,Median,8866,9269,9665,256962,286.455,181.597,9.64,292656
M7_Interaction_Pauses_Updates_prob_mc2_mch.eventb,1,10030,10555,15425,297282,301.213,196.356,10.93,308016
M7_Interaction_Pauses_Updates_prob_mc2_mch.eventb,2,10118,10653,15425,297282,301.041,196.184,11.02,307952
M7_Interaction_Pauses_Updates_prob_mc2_mch.eventb,3,10185,10740,15425,297282,301.043,196.186,11.11,307888
M7_Interaction_Pauses_Updates_prob_mc2_mch.eventb,4,10129,10655,15425,297282,301.158,196.3,11.03,307984
M7_Interaction_Pauses_Updates_prob_mc2_mch.eventb,5,10080,10603,15425,297282,301.048,196.191,10.97,308016
M7_Interaction_Pauses_Updates_prob_mc2_mch.eventb,Median,10118,10653,15425,297282,301.048,196.191,11.02,307984
M8_Interaction_Events_prob_mc2_mch.eventb,1,23433,25140,48129,611970,462.454,357.596,25.53,465312
M8_Interaction_Events_prob_mc2_mch.eventb,2,23420,25049,48129,611970,462.528,357.67,25.45,465344
M8_Interaction_Events_prob_mc2_mch.eventb,3,23494,25096,48129,611970,462.515,357.657,25.49,465504
M8_Interaction_Events_prob_mc2_mch.eventb,4,23405,25030,48129,611970,462.205,357.348,25.42,465248
M8_Interaction_Events_prob_mc2_mch.eventb,5,23067,24693,48129,611970,462.456,357.598,25.08,465280
M8_Interaction_Events_prob_mc2_mch.eventb,Median,23420,25049,48129,611970,462.456,357.598,25.45,465312
M9_Push_Mouse_Buttons_prob_mc2_mch.eventb,1,353896,389428,687169,10224194,3996.476,3891.619,389.95,2869328
M9_Push_Mouse_Buttons_prob_mc2_mch.eventb,2,353977,390326,687169,10224194,3996.253,3891.396,390.8,3932592
M9_Push_Mouse_Buttons_prob_mc2_mch.eventb,3,354116,390943,687169,10224194,3996.172,3891.314,391.42,3932496
M9_Push_Mouse_Buttons_prob_mc2_mch.eventb,4,354575,391895,687169,10224194,3996.342,3891.484,392.37,3932480
M9_Push_Mouse_Buttons_prob_mc2_mch.eventb,5,352060,388764,687169,10224194,3996.582,3891.724,389.27,3401504
M9_Push_Mouse_Buttons_prob_mc2_mch.eventb,Median,353977,390326,687169,10224194,3996.342,3891.484,390.8,3932480
